Sample	Dataset	Tool	Percent_identity	Correlation
sample_53	aquatic	MicFunPred	97	0.8654177993454234
sample_54	aquatic	MicFunPred	97	0.8605041703801215
sample_55	aquatic	MicFunPred	97	0.8521500813388811
sample_56	aquatic	MicFunPred	97	0.890739906389369
sample_57	aquatic	MicFunPred	97	0.8744984782989969
sample_58	aquatic	MicFunPred	97	0.868954464414588
sample_59	aquatic	MicFunPred	97	0.8718116777170798
sample_60	aquatic	MicFunPred	97	0.8683625800569676
sample_61	aquatic	MicFunPred	97	0.8906400472059953
sample_62	aquatic	MicFunPred	97	0.8674942364808631
sample_63	aquatic	MicFunPred	97	0.8803726717302468
sample_64	aquatic	MicFunPred	97	0.8491445393715643
sample_65	aquatic	MicFunPred	97	0.8747236195216112
sample_66	aquatic	MicFunPred	97	0.8732033785078931
sample_67	aquatic	MicFunPred	97	0.8481883027009494
sample_68	aquatic	MicFunPred	97	0.8648376768386389
sample_69	aquatic	MicFunPred	97	0.853842851944226
sample_70	aquatic	MicFunPred	97	0.8806878472877864
sample_71	aquatic	MicFunPred	97	0.849047476890564
sample_72	aquatic	MicFunPred	97	0.8624552821619456
sample_73	aquatic	MicFunPred	97	0.8432026645669458
sample_74	aquatic	MicFunPred	97	0.8732196447722163
sample_75	aquatic	MicFunPred	97	0.8822714098583323
sample_76	aquatic	MicFunPred	97	0.8864908056507932
sample_77	aquatic	MicFunPred	97	0.88254264905902
sample_78	aquatic	MicFunPred	97	0.8679204092124737
sample_79	aquatic	MicFunPred	97	0.901967222066771
sample_80	aquatic	MicFunPred	97	0.8800620788076394
sample_81	aquatic	MicFunPred	97	0.8544868651029984
sample_82	aquatic	MicFunPred	97	0.8967865376059144
sample_83	aquatic	MicFunPred	97	0.8750400150773352
sample_84	aquatic	MicFunPred	97	0.8316325017546474
sample_85	aquatic	MicFunPred	97	0.8677517805170577
sample_86	aquatic	MicFunPred	97	0.8724863172294796
sample_87	aquatic	MicFunPred	97	0.8943147389228417
sample_88	aquatic	MicFunPred	97	0.8631508112968105
sample_89	aquatic	MicFunPred	97	0.854363030500234
sample_90	aquatic	MicFunPred	97	0.8871126432257519
sample_91	aquatic	MicFunPred	97	0.8791935941677774
sample_92	aquatic	MicFunPred	97	0.8781791537898431
sample_93	aquatic	MicFunPred	97	0.8624116128225983
sample_94	aquatic	MicFunPred	97	0.8755261082297535
sample_95	aquatic	MicFunPred	97	0.8769159568801763
sample_96	aquatic	MicFunPred	97	0.8689936047276862
sample_97	aquatic	MicFunPred	97	0.879159523959439
sample_98	aquatic	MicFunPred	97	0.8830610388301731
sample_99	aquatic	MicFunPred	97	0.8582063586972799
sample_100	aquatic	MicFunPred	97	0.8932185288844187
sample_0	aquatic	Piphillin	97	0.8806173306359091
sample_1	aquatic	Piphillin	97	0.8832380786652967
sample_2	aquatic	Piphillin	97	0.8754555039156111
sample_3	aquatic	Piphillin	97	0.8377322219061991
sample_4	aquatic	Piphillin	97	0.8608474565622313
sample_5	aquatic	Piphillin	97	0.8872833136894814
sample_6	aquatic	Piphillin	97	0.8444566961500248
sample_7	aquatic	Piphillin	97	0.8248520071842259
sample_8	aquatic	Piphillin	97	0.877553207842106
sample_9	aquatic	Piphillin	97	0.8182246744779692
sample_10	aquatic	Piphillin	97	0.8621488130312234
sample_11	aquatic	Piphillin	97	0.8473498574520574
sample_12	aquatic	Piphillin	97	0.8733516856697716
sample_13	aquatic	Piphillin	97	0.8580848310376185
sample_14	aquatic	Piphillin	97	0.8399647051945722
sample_15	aquatic	Piphillin	97	0.8576749591790382
sample_16	aquatic	Piphillin	97	0.8460379132672857
sample_17	aquatic	Piphillin	97	0.8892157352060097
sample_18	aquatic	Piphillin	97	0.875375875696011
sample_19	aquatic	Piphillin	97	0.8947863632481617
sample_20	aquatic	Piphillin	97	0.8386103024662084
sample_21	aquatic	Piphillin	97	0.8810160422590383
sample_22	aquatic	Piphillin	97	0.8619726970758675
sample_23	aquatic	Piphillin	97	0.8822088579025139
sample_24	aquatic	Piphillin	97	0.8545942642782632
sample_25	aquatic	Piphillin	97	0.8328313175149993
sample_26	aquatic	Piphillin	97	0.8778650080962753
sample_27	aquatic	Piphillin	97	0.8578385984259316
sample_28	aquatic	Piphillin	97	0.8841525806367934
sample_29	aquatic	Piphillin	97	0.8543013852650228
sample_30	aquatic	Piphillin	97	0.8549576814247487
sample_31	aquatic	Piphillin	97	0.8433463012062987
sample_32	aquatic	Piphillin	97	0.8305029991313952
sample_33	aquatic	Piphillin	97	0.8664853097253744
sample_34	aquatic	Piphillin	97	0.8398739357544637
sample_35	aquatic	Piphillin	97	0.8699497211301505
sample_36	aquatic	Piphillin	97	0.8477924333166703
sample_37	aquatic	Piphillin	97	0.8543796486101887
sample_38	aquatic	Piphillin	97	0.8744417880486255
sample_39	aquatic	Piphillin	97	0.8419991163584084
sample_40	aquatic	Piphillin	97	0.8461163541247643
sample_41	aquatic	Piphillin	97	0.8248285472193552
sample_42	aquatic	Piphillin	97	0.8412969737070506
sample_43	aquatic	Piphillin	97	0.8688091133877776
sample_44	aquatic	Piphillin	97	0.8719966846745465
sample_45	aquatic	Piphillin	97	0.878441303888851
sample_46	aquatic	Piphillin	97	0.8426789003150456
sample_47	aquatic	Piphillin	97	0.8649708424692142
sample_48	aquatic	Piphillin	97	0.865417533457535
sample_49	aquatic	Piphillin	97	0.8765931666451765
sample_50	aquatic	Piphillin	97	0.8695048084914214
sample_51	aquatic	Piphillin	97	0.8644949183826416
sample_52	aquatic	Piphillin	97	0.8772081540100592
sample_53	aquatic	Piphillin	97	0.8368239046859907
sample_54	aquatic	Piphillin	97	0.8667894379792194
sample_55	aquatic	Piphillin	97	0.8494957698008568
sample_56	aquatic	Piphillin	97	0.8742687785052559
sample_57	aquatic	Piphillin	97	0.8778022853791909
sample_58	aquatic	Piphillin	97	0.8450934511164715
sample_59	aquatic	Piphillin	97	0.8492229985973271
sample_60	aquatic	Piphillin	97	0.8585196819568464
sample_61	aquatic	Piphillin	97	0.8497905504497792
sample_62	aquatic	Piphillin	97	0.8602195533508354
sample_63	aquatic	Piphillin	97	0.8169275043021625
sample_64	aquatic	Piphillin	97	0.8685020780702194
sample_65	aquatic	Piphillin	97	0.8388404516096413
sample_66	aquatic	Piphillin	97	0.8556524478180859
sample_67	aquatic	Piphillin	97	0.8330933899469338
sample_68	aquatic	Piphillin	97	0.8635345725046373
sample_69	aquatic	Piphillin	97	0.8431068595833044
sample_70	aquatic	Piphillin	97	0.8514027913637858
sample_71	aquatic	Piphillin	97	0.8756618530938707
sample_72	aquatic	Piphillin	97	0.839520481734256
sample_73	aquatic	Piphillin	97	0.8512724253521047
sample_74	aquatic	Piphillin	97	0.8381343906008469
sample_75	aquatic	Piphillin	97	0.8571523406829397
sample_76	aquatic	Piphillin	97	0.8395599324714751
sample_77	aquatic	Piphillin	97	0.8476463663797564
sample_78	aquatic	Piphillin	97	0.8396519517956672
sample_79	aquatic	Piphillin	97	0.8475180165239639
sample_80	aquatic	Piphillin	97	0.8377722355242511
sample_81	aquatic	Piphillin	97	0.8532156934148724
sample_82	aquatic	Piphillin	97	0.8518717663886438
sample_83	aquatic	Piphillin	97	0.8626790691545267
sample_84	aquatic	Piphillin	97	0.8703471407882876
sample_85	aquatic	Piphillin	97	0.8523579874970812
sample_86	aquatic	Piphillin	97	0.8528241359186752
sample_87	aquatic	Piphillin	97	0.8673177339717288
sample_88	aquatic	Piphillin	97	0.8419856463600298
sample_89	aquatic	Piphillin	97	0.8703305251639336
sample_90	aquatic	Piphillin	97	0.8551252545610137
sample_91	aquatic	Piphillin	97	0.8809065891063399
sample_92	aquatic	Piphillin	97	0.8780301569878771
sample_93	aquatic	Piphillin	97	0.8440503903279943
sample_94	aquatic	Piphillin	97	0.8656622149955817
sample_95	aquatic	Piphillin	97	0.8213074976952691
sample_96	aquatic	Piphillin	97	0.8673904312430456
sample_97	aquatic	Piphillin	97	0.8388918813178683
sample_98	aquatic	Piphillin	97	0.8373934265180145
sample_99	aquatic	Piphillin	97	0.8654783418013495
sample_100	aquatic	Piphillin	97	0.8812253856139776
sample_0	aquatic	Tax4Fun2	97	0.7681305761473786
sample_1	aquatic	Tax4Fun2	97	0.7553022517501876
sample_2	aquatic	Tax4Fun2	97	0.7554494069662449
sample_3	aquatic	Tax4Fun2	97	0.7643513983303021
sample_4	aquatic	Tax4Fun2	97	0.7497628755850242
sample_5	aquatic	Tax4Fun2	97	0.7406276230987459
sample_6	aquatic	Tax4Fun2	97	0.7690107319132391
sample_7	aquatic	Tax4Fun2	97	0.7408833748008037
sample_8	aquatic	Tax4Fun2	97	0.761113796528456
sample_9	aquatic	Tax4Fun2	97	0.7581938391561646
sample_10	aquatic	Tax4Fun2	97	0.7575006863314868
sample_11	aquatic	Tax4Fun2	97	0.7645662966488989
sample_12	aquatic	Tax4Fun2	97	0.7757009918489937
sample_13	aquatic	Tax4Fun2	97	0.7562896023367252
sample_14	aquatic	Tax4Fun2	97	0.7605452818116277
sample_15	aquatic	Tax4Fun2	97	0.7634084011329311
sample_16	aquatic	Tax4Fun2	97	0.7681068973717251
sample_17	aquatic	Tax4Fun2	97	0.7583186906921113
sample_18	aquatic	Tax4Fun2	97	0.7464175988519297
sample_19	aquatic	Tax4Fun2	97	0.7741688306957687
sample_20	aquatic	Tax4Fun2	97	0.7593683447697445
sample_21	aquatic	Tax4Fun2	97	0.7782352644835651
sample_22	aquatic	Tax4Fun2	97	0.7466200749750838
sample_23	aquatic	Tax4Fun2	97	0.7700373298773004
sample_24	aquatic	Tax4Fun2	97	0.7609264958190868
sample_25	aquatic	Tax4Fun2	97	0.7734853832495382
sample_26	aquatic	Tax4Fun2	97	0.7678038479694878
sample_27	aquatic	Tax4Fun2	97	0.7642986789345497
sample_28	aquatic	Tax4Fun2	97	0.7396656124446948
sample_29	aquatic	Tax4Fun2	97	0.7771818294895886
sample_30	aquatic	Tax4Fun2	97	0.7757319541788424
sample_31	aquatic	Tax4Fun2	97	0.7541043853666429
sample_32	aquatic	Tax4Fun2	97	0.7619243402277069
sample_33	aquatic	Tax4Fun2	97	0.7389795333286093
sample_34	aquatic	Tax4Fun2	97	0.7615998567311373
sample_35	aquatic	Tax4Fun2	97	0.7438891146443342
sample_36	aquatic	Tax4Fun2	97	0.7494392073828935
sample_37	aquatic	Tax4Fun2	97	0.7482855172163466
sample_38	aquatic	Tax4Fun2	97	0.775513297979671
sample_39	aquatic	Tax4Fun2	97	0.7460472748710307
sample_40	aquatic	Tax4Fun2	97	0.7536752470967845
sample_41	aquatic	Tax4Fun2	97	0.7529679424511386
sample_42	aquatic	Tax4Fun2	97	0.7621109840586996
sample_43	aquatic	Tax4Fun2	97	0.7590606893178627
sample_44	aquatic	Tax4Fun2	97	0.7548172098722044
sample_45	aquatic	Tax4Fun2	97	0.764353300265381
sample_46	aquatic	Tax4Fun2	97	0.7559904712221126
sample_47	aquatic	Tax4Fun2	97	0.7622620559918036
sample_48	aquatic	Tax4Fun2	97	0.7795248666751645
sample_49	aquatic	Tax4Fun2	97	0.7585915366268846
sample_50	aquatic	Tax4Fun2	97	0.7715942709019917
sample_51	aquatic	Tax4Fun2	97	0.7533268432232068
sample_52	aquatic	Tax4Fun2	97	0.767570253159973
sample_53	aquatic	Tax4Fun2	97	0.7619467293552292
sample_54	aquatic	Tax4Fun2	97	0.7617196473640099
sample_55	aquatic	Tax4Fun2	97	0.7667876630353647
sample_56	aquatic	Tax4Fun2	97	0.7555851889782849
sample_57	aquatic	Tax4Fun2	97	0.742007286123151
sample_58	aquatic	Tax4Fun2	97	0.7622529585472672
sample_59	aquatic	Tax4Fun2	97	0.7711158160957575
sample_60	aquatic	Tax4Fun2	97	0.7578704572450021
sample_61	aquatic	Tax4Fun2	97	0.7661839261335053
sample_62	aquatic	Tax4Fun2	97	0.7443491133897123
sample_63	aquatic	Tax4Fun2	97	0.749822151911497
sample_64	aquatic	Tax4Fun2	97	0.7728847641523415
sample_65	aquatic	Tax4Fun2	97	0.7490592290165398
sample_66	aquatic	Tax4Fun2	97	0.7750673041266474
sample_67	aquatic	Tax4Fun2	97	0.7458911419275699
sample_68	aquatic	Tax4Fun2	97	0.7546507733440131
sample_69	aquatic	Tax4Fun2	97	0.7671278627564253
sample_70	aquatic	Tax4Fun2	97	0.7544150453490883
sample_71	aquatic	Tax4Fun2	97	0.7526260758476703
sample_72	aquatic	Tax4Fun2	97	0.7659068637814265
sample_73	aquatic	Tax4Fun2	97	0.7509539954880992
sample_74	aquatic	Tax4Fun2	97	0.7614942838447675
sample_75	aquatic	Tax4Fun2	97	0.7621805005923015
sample_76	aquatic	Tax4Fun2	97	0.7525755703376972
sample_77	aquatic	Tax4Fun2	97	0.7657714509675755
sample_78	aquatic	Tax4Fun2	97	0.7590539396020315
sample_79	aquatic	Tax4Fun2	97	0.7703378948537618
sample_80	aquatic	Tax4Fun2	97	0.760286071361137
sample_81	aquatic	Tax4Fun2	97	0.7721083461796842
sample_82	aquatic	Tax4Fun2	97	0.7758451429674434
sample_83	aquatic	Tax4Fun2	97	0.7656139852637279
sample_84	aquatic	Tax4Fun2	97	0.7582335410429265
sample_85	aquatic	Tax4Fun2	97	0.7596498426836882
sample_86	aquatic	Tax4Fun2	97	0.7695298900887461
sample_87	aquatic	Tax4Fun2	97	0.7550004923825452
sample_88	aquatic	Tax4Fun2	97	0.7632583929467238
sample_89	aquatic	Tax4Fun2	97	0.7537553149127895
sample_90	aquatic	Tax4Fun2	97	0.7733455101614353
sample_91	aquatic	Tax4Fun2	97	0.7620488422011039
sample_92	aquatic	Tax4Fun2	97	0.7679486962872871
sample_93	aquatic	Tax4Fun2	97	0.7614134608177514
sample_94	aquatic	Tax4Fun2	97	0.750100093591036
sample_95	aquatic	Tax4Fun2	97	0.7549139885720535
sample_96	aquatic	Tax4Fun2	97	0.7589834817826667
sample_97	aquatic	Tax4Fun2	97	0.7762762568374669
sample_98	aquatic	Tax4Fun2	97	0.7575894062462352
sample_99	aquatic	Tax4Fun2	97	0.7773289631033254
sample_100	aquatic	Tax4Fun2	97	0.7655325900460376
sample_0	human	MicFunPred	97	0.9416165393147459
sample_1	human	MicFunPred	97	0.9410888851183973
sample_2	human	MicFunPred	97	0.9211124777027001
sample_3	human	MicFunPred	97	0.9367044476708706
sample_4	human	MicFunPred	97	0.932921999987098
sample_5	human	MicFunPred	97	0.9390418203806253
sample_6	human	MicFunPred	97	0.9192080632985498
sample_7	human	MicFunPred	97	0.938036530701706
sample_8	human	MicFunPred	97	0.92711786911872
sample_9	human	MicFunPred	97	0.9476059043306788
sample_10	human	MicFunPred	97	0.9479869248111777
sample_11	human	MicFunPred	97	0.9505286486550343
sample_12	human	MicFunPred	97	0.9464679780829349
sample_13	human	MicFunPred	97	0.9331104772314277
sample_14	human	MicFunPred	97	0.9316566585938673
sample_15	human	MicFunPred	97	0.9386596148803178
sample_16	human	MicFunPred	97	0.9441546347854037
sample_17	human	MicFunPred	97	0.9432264909965855
sample_18	human	MicFunPred	97	0.9420670758443919
sample_19	human	MicFunPred	97	0.9209260493114959
sample_20	human	MicFunPred	97	0.9458389661714345
sample_21	human	MicFunPred	97	0.9559065809477435
sample_22	human	MicFunPred	97	0.9432318343742537
sample_23	human	MicFunPred	97	0.9432256362658618
sample_24	human	MicFunPred	97	0.9427085111740363
sample_25	human	MicFunPred	97	0.9271951838630078
sample_26	human	MicFunPred	97	0.9613887109708021
sample_27	human	MicFunPred	97	0.9449776867022951
sample_28	human	MicFunPred	97	0.941935645584515
sample_29	human	MicFunPred	97	0.9413465527773965
sample_30	human	MicFunPred	97	0.942584869293918
sample_31	human	MicFunPred	97	0.9335223986289826
sample_32	human	MicFunPred	97	0.9342306351937643
sample_33	human	MicFunPred	97	0.9404007423594212
sample_34	human	MicFunPred	97	0.932156167327373
sample_35	human	MicFunPred	97	0.9481937837013645
sample_36	human	MicFunPred	97	0.9248273708922862
sample_37	human	MicFunPred	97	0.9377354095925476
sample_38	human	MicFunPred	97	0.925749290115864
sample_39	human	MicFunPred	97	0.943379022073962
sample_40	human	MicFunPred	97	0.9414342597346472
sample_41	human	MicFunPred	97	0.9388078018452237
sample_42	human	MicFunPred	97	0.9437143482697581
sample_43	human	MicFunPred	97	0.9299039546907512
sample_44	human	MicFunPred	97	0.9432107140290048
sample_45	human	MicFunPred	97	0.9513572626451924
sample_46	human	MicFunPred	97	0.9542311648747273
sample_47	human	MicFunPred	97	0.9493598126089133
sample_48	human	MicFunPred	97	0.9539112868470231
sample_49	human	MicFunPred	97	0.9461861577676489
sample_50	human	MicFunPred	97	0.9348008840317372
sample_51	human	MicFunPred	97	0.9188200783135484
sample_52	human	MicFunPred	97	0.9414396315414915
sample_53	human	MicFunPred	97	0.9499143313471025
sample_54	human	MicFunPred	97	0.9217067999780438
sample_55	human	MicFunPred	97	0.9381159882091842
sample_56	human	MicFunPred	97	0.9449558393786482
sample_57	human	MicFunPred	97	0.9541303295135067
sample_58	human	MicFunPred	97	0.918499810394668
sample_59	human	MicFunPred	97	0.9445905230961417
sample_60	human	MicFunPred	97	0.9385512730237074
sample_61	human	MicFunPred	97	0.9400853587521613
sample_62	human	MicFunPred	97	0.9389294962556739
sample_63	human	MicFunPred	97	0.9544136981040199
sample_64	human	MicFunPred	97	0.9593210232355728
sample_65	human	MicFunPred	97	0.9443228363969042
sample_66	human	MicFunPred	97	0.9391839374412047
sample_67	human	MicFunPred	97	0.9404500672083071
sample_68	human	MicFunPred	97	0.9389769376775005
sample_69	human	MicFunPred	97	0.9522748587541386
sample_70	human	MicFunPred	97	0.930727900273392
sample_71	human	MicFunPred	97	0.9472446513261158
sample_72	human	MicFunPred	97	0.9584107497680795
sample_73	human	MicFunPred	97	0.9465449767156165
sample_74	human	MicFunPred	97	0.9431061437152668
sample_75	human	MicFunPred	97	0.9193921505466301
sample_76	human	MicFunPred	97	0.9209150861008307
sample_77	human	MicFunPred	97	0.9449347945383848
sample_78	human	MicFunPred	97	0.9502452445030952
sample_79	human	MicFunPred	97	0.9493761581176857
sample_80	human	MicFunPred	97	0.9190858139465136
sample_81	human	MicFunPred	97	0.9429120382323827
sample_82	human	MicFunPred	97	0.935734700613573
sample_83	human	MicFunPred	97	0.9475335516167478
sample_84	human	MicFunPred	97	0.9314236359825472
sample_85	human	MicFunPred	97	0.9561146632903521
sample_86	human	MicFunPred	97	0.935507683879482
sample_87	human	MicFunPred	97	0.9368652668025012
sample_88	human	MicFunPred	97	0.9516528176572638
sample_89	human	MicFunPred	97	0.9384721685422275
sample_90	human	MicFunPred	97	0.9275327421336075
sample_91	human	MicFunPred	97	0.9231943215025812
sample_92	human	MicFunPred	97	0.937622199312006
sample_93	human	MicFunPred	97	0.9346886281130949
sample_94	human	MicFunPred	97	0.9369958393177537
sample_95	human	MicFunPred	97	0.9293696544220986
sample_96	human	MicFunPred	97	0.9488350555450223
sample_97	human	MicFunPred	97	0.9457028866176406
sample_98	human	MicFunPred	97	0.9492303698595302
sample_99	human	MicFunPred	97	0.9441368226074842
sample_100	human	MicFunPred	97	0.937670936079543
sample_0	human	PICRUSt2	97	0.9315373364636924
sample_1	human	PICRUSt2	97	0.9122773202794847
sample_2	human	PICRUSt2	97	0.8925158873468333
sample_3	human	PICRUSt2	97	0.8943984831580581
sample_4	human	PICRUSt2	97	0.9333035903203031
sample_5	human	PICRUSt2	97	0.9074593891641702
sample_6	human	PICRUSt2	97	0.8579983943923187
sample_7	human	PICRUSt2	97	0.9183810586360833
sample_8	human	PICRUSt2	97	0.8874814623257073
sample_9	human	PICRUSt2	97	0.9171914138392365
sample_10	human	PICRUSt2	97	0.8633600577091217
sample_11	human	PICRUSt2	97	0.9191915972977672
sample_12	human	PICRUSt2	97	0.9320087189729386
sample_13	human	PICRUSt2	97	0.9010787843884719
sample_14	human	PICRUSt2	97	0.9170590489790699
sample_15	human	PICRUSt2	97	0.9109738847932544
sample_16	human	PICRUSt2	97	0.9215373844932102
sample_17	human	PICRUSt2	97	0.9380922786717968
sample_18	human	PICRUSt2	97	0.8938150607825753
sample_19	human	PICRUSt2	97	0.9012166835791368
sample_20	human	PICRUSt2	97	0.9404840247033951
sample_21	human	PICRUSt2	97	0.8800585159543275
sample_22	human	PICRUSt2	97	0.9434913178725034
sample_23	human	PICRUSt2	97	0.9194686677037803
sample_24	human	PICRUSt2	97	0.9045841552397567
sample_25	human	PICRUSt2	97	0.9199239098381097
sample_26	human	PICRUSt2	97	0.9197364324136948
sample_27	human	PICRUSt2	97	0.9151356935706864
sample_28	human	PICRUSt2	97	0.8913807673520687
sample_29	human	PICRUSt2	97	0.9040327766269044
sample_30	human	PICRUSt2	97	0.9278986133499633
sample_31	human	PICRUSt2	97	0.8749259746914051
sample_32	human	PICRUSt2	97	0.920589809496133
sample_33	human	PICRUSt2	97	0.9304581248446533
sample_34	human	PICRUSt2	97	0.8998806993985374
sample_35	human	PICRUSt2	97	0.8577734690085685
sample_36	human	PICRUSt2	97	0.9224372189168565
sample_37	human	PICRUSt2	97	0.9134248539055847
sample_38	human	PICRUSt2	97	0.9150231078137788
sample_39	human	PICRUSt2	97	0.9132563911069342
sample_40	human	PICRUSt2	97	0.9170110447257447
sample_41	human	PICRUSt2	97	0.9293963490858331
sample_42	human	PICRUSt2	97	0.895257378135718
sample_43	human	PICRUSt2	97	0.8697061362194141
sample_44	human	PICRUSt2	97	0.9262419130805215
sample_45	human	PICRUSt2	97	0.9051119475008672
sample_46	human	PICRUSt2	97	0.9162408470130577
sample_47	human	PICRUSt2	97	0.9098816946640677
sample_48	human	PICRUSt2	97	0.9354643211525857
sample_49	human	PICRUSt2	97	0.9124556141163739
sample_50	human	PICRUSt2	97	0.9293391327516324
sample_51	human	PICRUSt2	97	0.9251950900397529
sample_52	human	PICRUSt2	97	0.9049268670804308
sample_53	human	PICRUSt2	97	0.9192484242569363
sample_54	human	PICRUSt2	97	0.9003182344473895
sample_55	human	PICRUSt2	97	0.924187965674283
sample_56	human	PICRUSt2	97	0.9261759055336463
sample_57	human	PICRUSt2	97	0.9265434709308635
sample_58	human	PICRUSt2	97	0.9143908720656742
sample_59	human	PICRUSt2	97	0.9205519781718264
sample_60	human	PICRUSt2	97	0.9069427956863937
sample_61	human	PICRUSt2	97	0.9130299145110713
sample_62	human	PICRUSt2	97	0.9293228342044813
sample_63	human	PICRUSt2	97	0.8904633849005448
sample_64	human	PICRUSt2	97	0.9237225300938476
sample_65	human	PICRUSt2	97	0.9029593059808018
sample_66	human	PICRUSt2	97	0.8974661879732244
sample_67	human	PICRUSt2	97	0.914194363213396
sample_68	human	PICRUSt2	97	0.9383247613782136
sample_69	human	PICRUSt2	97	0.9265811541212553
sample_70	human	PICRUSt2	97	0.9101450303722474
sample_71	human	PICRUSt2	97	0.9165894819835501
sample_72	human	PICRUSt2	97	0.9269896480206131
sample_73	human	PICRUSt2	97	0.9185059438335984
sample_74	human	PICRUSt2	97	0.8850578217460893
sample_75	human	PICRUSt2	97	0.9198009619540817
sample_76	human	PICRUSt2	97	0.8796541698520747
sample_77	human	PICRUSt2	97	0.8963522273307506
sample_78	human	PICRUSt2	97	0.9284449169213735
sample_79	human	PICRUSt2	97	0.9225095079769782
sample_80	human	PICRUSt2	97	0.8309249815984202
sample_81	human	PICRUSt2	97	0.9333278634048565
sample_82	human	PICRUSt2	97	0.9091803530664709
sample_83	human	PICRUSt2	97	0.9410648571597717
sample_84	human	PICRUSt2	97	0.9130565618253179
sample_85	human	PICRUSt2	97	0.8994933993644133
sample_86	human	PICRUSt2	97	0.8994012433296803
sample_87	human	PICRUSt2	97	0.9211039511019904
sample_88	human	PICRUSt2	97	0.9340465822358348
sample_89	human	PICRUSt2	97	0.920452974199287
sample_90	human	PICRUSt2	97	0.9203218487527859
sample_91	human	PICRUSt2	97	0.8973251361794279
sample_92	human	PICRUSt2	97	0.9278299199977237
sample_93	human	PICRUSt2	97	0.9346233677914325
sample_94	human	PICRUSt2	97	0.9293078086950638
sample_95	human	PICRUSt2	97	0.8620157980596869
sample_96	human	PICRUSt2	97	0.9419879117391489
sample_97	human	PICRUSt2	97	0.9297125697526887
sample_98	human	PICRUSt2	97	0.9246820269266041
sample_99	human	PICRUSt2	97	0.9053858494240921
sample_100	human	PICRUSt2	97	0.8641882790364889
sample_0	human	Piphillin	97	0.9461261740646741
sample_1	human	Piphillin	97	0.936226466576157
sample_2	human	Piphillin	97	0.9163652983369548
sample_3	human	Piphillin	97	0.9432720244328627
sample_4	human	Piphillin	97	0.9366020726460237
sample_5	human	Piphillin	97	0.9447511554252638
sample_6	human	Piphillin	97	0.9370456096628971
sample_7	human	Piphillin	97	0.9401184654476709
sample_8	human	Piphillin	97	0.9446987770046381
sample_9	human	Piphillin	97	0.9420863721799171
